"","Geneid","Ctrl1","Ctrl2","Ctrl3","Ctrl4","SBMA_1","SBMA_2","SBMA_3","SBMA_4","SBMA_5","SBMA_6","SBMA_7","SBMA_8","SBMA_9","ensgene","symbol"
"3142","ENSG00000115286.21",5849.96558079076,6964.84450063972,6244.29203052795,6449.09256813787,6257.14881664991,2502.52157746289,5886.58099339677,9260.99699826674,5548.4057141746,5285.07397006176,4485.07915143704,7555.53801168756,5095.10216823653,"ENSG00000115286","NDUFS7"
"3143","ENSG00000115289.14",391.858095293815,347.557984172731,367.320709511335,382.649991882898,319.02303091343,325.169126622908,300.828799442979,363.195939061587,330.501053507185,320.632093300576,313.256393134327,276.540647241543,289.80830311097,"ENSG00000115289","PCGF1"
"3144","ENSG00000115290.11",313.840453619319,174.402040229176,146.136476898649,225.691319472952,129.76972580716,64.574943228985,157.081677587231,246.001330174813,175.017581883105,347.922095306082,145.07375308066,274.086207944532,223.467181158969,"ENSG00000115290","GRB14"
"3145","ENSG00000115295.21",2684.94211365237,2923.86349952313,2478.46702076118,2211.19204059866,2309.13498249671,947.510327560237,1903.09457930938,2463.8823822669,2468.79374229894,2090.23665283268,1984.13369149496,2616.76132364256,1250.8155030034,"ENSG00000115295","CLIP4"
"3146","ENSG00000115306.16",14229.6008151421,9352.27292128519,13146.5906740225,11180.5515444755,12131.3669718552,13283.1103444917,12649.7745325388,9296.81817178719,10890.2402468555,13068.368458283,14851.0992821492,11692.5222770186,14800.007341365,"ENSG00000115306","SPTBN1"
"3147","ENSG00000115307.17",1355.16002141049,1492.15598112324,1670.34134651712,1419.25907441646,1322.86859727225,1178.82261192481,1208.32113956971,1372.82035102762,1294.03292402938,1170.41281236945,1197.51629027419,1306.95596162021,1140.80812725612,"ENSG00000115307","AUP1"
"3148","ENSG00000115310.19",23551.4933460159,25663.5189187231,19161.3798883364,27289.3918016799,18256.0849754106,7477.3123930138,20258.8231441635,25148.8654303977,19621.9062642058,15724.5840033901,13557.5841476218,16884.3991468638,14555.4234756131,"ENSG00000115310","RTN4"
"3149","ENSG00000115317.13",380.638584106014,436.067050500092,464.967791656535,404.719084838754,511.544604424494,566.367818780984,420.679278425226,542.603159960869,410.970016679234,482.499013969035,402.236873812495,453.770582837569,524.831460580158,"ENSG00000115317","HTRA2"
"3150","ENSG00000115350.12",381.746040203896,419.907588106557,472.708973100399,464.110616826618,329.306706388652,356.920434296343,363.170342862107,339.720397708303,442.663125964466,370.268989113462,347.081210388672,366.610952920963,370.903015203849,"ENSG00000115350","POLE4"
"3151","ENSG00000115355.18",1328.17252411631,1332.27525561752,927.078010058084,1227.87566084462,1494.10895400166,2435.95843407765,1405.19782034917,1512.57229929584,1556.25273263648,1624.7367234745,1357.46310473813,1486.16177039575,2014.58806204038,"ENSG00000115355","CCDC88A"
