Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
O60674	JAK2	0.130656265218273	3239.52045754825	566.580383300781	2.51288363546088	0.228137422677408
O15160	POLR1C	0.130738082326618	17162.6933880974	5684.8671875	1.59382367111675	0.228193403141162
P23109	AMPD1	0.1307735201873	2132752.76378677	3099014.8125	-0.539093383107927	0.228193403141162
P34096	RNASE4	0.131032654104749	12489.8264016544	3113.34191894531	2.00375417524951	0.228565272166837
Q96DD0	LRRC39	0.131071964923749	120115.387408088	159473.283203125	-0.40890281433214	0.228565272166837
Q8N9N2	ASCC1	0.131142524311737	14650.3303079044	7163.48440551758	1.0319984028585	0.228613896107379
P18084	ITGB5	0.131237935613098	11481.2110811121	3167.73095703125	1.85729775375227	0.228705797358285
Q8N0W3	FCSK	0.131345739505449	27548.1905445772	21204.0512695313	0.377549589887005	0.228819228140062
P00338	LDHA	0.131756054035327	20452294.0882353	35553828.5	-0.797742284645996	0.229459421803396
P08758	ANXA5	0.132227067848745	5032311.32352941	3066464.75	0.714644339884415	0.23020487567947
P51398	DAP3	0.132382033551431	59442.7425321691	43006.2543945313	0.466920647754489	0.230345575095879
Q96SZ5	ADO	0.132393881971292	34880.3745404412	27346.9814453125	0.350981180032528	0.230345575095879
O95479	H6PD	0.13283192870719	176798.798253676	128417.3203125	0.461257434640518	0.231032676001435
P31749	AKT1	0.132980885441478	17722.1699793199	11515.7779541016	0.621818113720428	0.231066689364254
Q9H269	VPS16	0.132947276517042	47034.9034926471	35726.9013671875	0.39668057070415	0.231066689364254
Q9Y2Q5	LAMTOR2	0.132902343635452	24106.4447380515	13016.3471679688	0.888983426702587	0.231066689364254
P78560	CRADD	0.133054263436524	11837.5114889706	15359.1145019531	-0.37582314475641	0.231119224782574
Q99808	SLC29A1	0.133190143238208	63404.6413143382	79284.9365234375	-0.322476536499051	0.231280258452862
Q9BZZ2	SIGLEC1	0.133294986242506	12473.7239774816	4693.64599609375	1.40980396056416	0.231313449705827
Q9C0J8	WDR33	0.133295616808267	12134.668370864	2348.35180664063	2.36880000869888	0.231313449705827
Q8N3K9	CMYA5	0.133437134145611	93379.1070772059	132020.775390625	-0.499604206041219	0.231484043917759
P0C0E4;Q12829	RAB40AL;RAB40B	0.134709705981423	4460.99326459099	1686.25317382813	1.4026885023342	0.233613499682759
Q14C86	GAPVD1	0.134751859999949	61137.4051011029	51083.9580078125	0.259156768785466	0.233613499682759
P29353	SHC1	0.134827575784979	20798.4527803309	15412.0324707031	0.432325472731846	0.233669143798166
Q8N1K5	THEMIS	0.134945544424362	14106.1057559743	3479.67944335938	2.01887890215047	0.233797956494601
P61758	VBP1	0.135291780263728	35381.5553768382	42847.505859375	-0.276247427547686	0.234322039079466
Q92506	HSD17B8	0.135357662765853	132152.804457721	99058.8740234375	0.415834349825893	0.234360374737128
